ID,Title,Work Item Type,State,Created By,Severity
"155051","WebRTC: ALL : Meeting name doesn't show the maximum character limit.","Observation","Withdrawn","Akash Kankariya <IN\Akash.Kankariya>","2-Major"
"155071","WebRTC: All: Anybody can edit whiteboard, cannot makeout who's editing whiteboard (Enhancement)","Observation","Withdrawn","Akash Kankariya <IN\Akash.Kankariya>","2-Major"
"156193","WebRTC: ALL : https and http get removed automatically in chat section","Observation","Withdrawn","Akash Kankariya <IN\Akash.Kankariya>","4-Minor"
"139010","JioMeet Webinar : Android : RIl Id : Attendee Journey : Web help option not seen","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"139136"," JioMeet Webinar : Windows: RIl Id : Host Journey : Attendees able to join even when host locks the webinar","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","2-Major"
"139151","JioMeet Webinar : Android : OTT : Panelist Journey : Web help option not seen in right hand corner","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"139162","JioMeet Webinar : Android : OTT : Attendee Journey : Host's screen unclear for attendees","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"141896","JioMeet Webinar : Android : OTT : Attendee Journey : Live Stream not started error appears (Intermittent)","Observation","Closed","Bhavini Sharma <IN\Bhavini.Sharma>","2-Major"
"141901","JioMeet Webinar : WebRTC : OTT : Attendee Journey : The screen overlaps the meeting timing and leave webinar when an attendee types a question or comments ","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"141904","JioMeet Webinar : Windows : RIL Id : Host Journey : Both Leave Webinar options are cropped.","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"141912","JioMeet Webinar : Windows : RIL Id : Host Journey : Q&A does not update the number of questions asked in Attendees list on refreshing.","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"141916","JioMeet Webinar : Windows : RIL Id : Host Journey : Attendee able to join even when room is locked by the host.","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"141917","JioMeet Webinar : Windows : RIL Id : Host Journey : Attendee text is cut when Host tries to copy invitation on home page (inside the calendar)","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","4-Minor"
"143441","JioMeet Webinar : Android : RIl  : Panelist Journey : Share Whiteboard option not working","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","2-Major"
"143444","JioMeet Webinar : Android : RIl Id : Panelist Journey : Dropdown button near meeting subject not working","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","4-Minor"
"143448","JioMeet Webinar :Windows : RIl Id : Host Journey : The overflow menu overlaps the text in comment section when trying to add as ticker","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","4-Minor"
"143450","JioMeet Webinar :Windows : RIl Id : Host Journey : Share Whiteboard option not available in 'More Option'","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","2-Major"
"144434","Android: OTT/RIL: Website link not clickable in contact details of 'Terms and Conditions'","Observation","Closed","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"144448","Android: OTT/RIL: Download button  in 'Help' gives a toast  'sorry ,the file you have requested for does not exist'","Observation","Withdrawn","Bhavini Sharma <IN\Bhavini.Sharma>","3-Medium"
"150774","Windows:OTT/RIL:""Please release the camera"" popup even if no other apps are running.(Device Specific)","Observation","Withdrawn","Saurav Sawant <IN\Saurav.Sawant>","3-Medium"
